one_four	two_three	one_two
18	-14	19
-34	-27	75
12	-15	83
33	-31	146
70	-68	69
28	-26	27
26	-22	22
17	-15	17
178	-83	86
16	-17	38
31	-29	30
30	-19	26
22	-20	21
14	-20	21
17	-15	147
28	-26	27
17	-15	16
26	-24	28
16	-14	15
19	-16	16
25	-23	24
16	-14	-84
24	-14	-67
22	-20	21
18	-18	14
26	-19	-55
19	-24	22
28	-26	27
23	-21	96
21	-19	-22
17	-15	16
17	-15	42
18	-18	18
30	-28	29
19	-17	20
42	-41	95
42	-41	95
38	-36	37
17	-15	-12
53	-50	53
21	-20	30
17	-15	-96
22	-16	23
19	-17	18
20	-18	19
26	-20	17
31	-29	30
14	-14	15
33	-31	32
17	-14	126
17	-14	126
43	-41	42
17	-15	16
19	-17	18
20	-17	20
31	-29	101
27	-25	26
25	-23	24
19	-15	7
19	-15	7
22	-19	21
27	-25	79
16	-14	6
19	-15	27
16	-14	56
15	-16	66
18	-18	80
16	-14	15
16	-14	15
42	-40	41
31	-29	30
27	-14	11
74	-72	73
16	-14	18
19	-19	43
19	-17	29
34	-32	33
20	-15	22
17	-21	22
31	-29	30
25	-23	24
5	-15	-11
27	-25	25
23	-14	33
16	-14	48
25	-23	24
20	-14	8
36	-34	35
13	-14	23
16	-14	88
27	-22	47
39	-29	75
19	-17	18
84	-82	83
36	-34	35
28	-26	27
34	-32	33
34	-31	30
18	-15	111
35	-33	34
53	-28	110
19	-14	15
23	-15	31
23	-15	31
20	-21	28
18	-16	-8
26	-17	58
14	-15	8
35	-33	35
23	-21	22
18	-16	6
38	-36	36
18	-16	10
23	-22	-20
23	-22	-20
125	-25	28
25	-23	24
29	-20	24
32	-30	31
79	-77	70
17	-15	12
30	-28	29
16	-14	-11
21	-19	20
17	-15	20
19	-17	18
19	-17	18
19	-20	19
27	-25	73
52	-50	51
12	-17	7
48	-46	47
16	-14	-26
42	-40	161
144	-42	62
63	-61	62
17	-15	15
23	-22	95
15	-15	-5
62	-60	32
26	-24	25
17	-15	-14
77	-36	73
32	-30	31
23	-25	22
179	-77	78
20	-18	22
21	-19	47
21	-19	47
25	-23	24
28	-26	27
116	-14	16
31	-15	23
25	-23	-22
18	-16	-75
17	-14	1
47	-45	46
38	-36	37
16	-14	-14
19	-17	18
38	-36	-44
34	-31	38
44	-42	43
17	-15	16
26	-17	24
26	-24	25
31	-29	-20
17	-15	18
29	-27	28
26	-24	25
125	-26	68
18	-16	22
21	-19	20
27	-25	26
16	-14	61
33	-31	32
14	-14	15
30	-19	19
31	-29	30
29	-24	26
29	-27	28
11	-14	21
18	-16	95
18	-16	95
13	-22	-1
25	-23	24
26	-24	-19
13	-16	6
16	-14	-37
28	-26	80
20	-14	18
28	-15	14
28	-15	14
18	-14	-7
28	-14	-47
21	-17	88
264	-93	197
18	-15	22
15	-14	4
20	-18	26
36	-20	13
37	-35	36
17	-15	-21
16	-14	10
16	-14	18
25	-23	24
40	-15	51
23	-21	-6
34	-32	33
28	-26	27
31	-47	74
16	-14	55
14	-14	-17
48	-27	40
32	-19	39
25	-23	-19
21	-21	22
17	-15	16
15	-15	-60
15	-15	-60
32	-30	31
19	-17	18
27	-25	26
17	-15	16
20	-15	85
34	-32	33
25	-23	-63
17	-15	-1
14	-14	25
-10	-14	16
21	-19	20
29	-27	-46
175	-84	179
26	-24	25
16	-14	59
25	-23	24
12	-14	22
16	-14	86
21	-19	-20
17	-15	-71
21	-19	20
36	-34	35
16	-14	-66
132	-30	39
11	-15	4
27	-25	-1
27	-25	-1
23	-21	-74
34	-32	33
27	-15	-83
26	-16	93
29	-27	28
47	-30	31
32	-30	31
16	-14	-23
21	-19	24
27	-20	17
16	-14	34
30	-18	41
16	-19	-8
31	-20	23
42	-28	32
32	-31	30
23	-19	17
23	-19	17
25	-23	29
29	-27	28
30	-28	115
21	-19	14
17	-15	16
28	-26	62
16	-14	86
23	-17	5
34	-32	33
-9	-14	15
38	-36	115
27	-25	32
21	-21	17
43	-41	-14
43	-41	-14
16	-14	17
24	-21	11
19	-17	18
19	-15	-11
42	-40	41
20	-14	16
27	-25	28
25	-19	20
24	-22	23
29	-29	-115
25	-23	-34
18	-16	8
21	-20	-2
23	-16	12
38	-36	37
16	-14	130
23	-21	22
70	-68	69
14	-14	28
17	-15	97
17	-15	22
25	-20	21
22	-20	53
21	-19	20
20	-14	12
12	-14	24
26	-24	-18
17	-15	10
9	-14	19
33	-31	32
18	-16	16
16	-14	5
30	-28	29
17	-15	16
46	-44	45
16	-14	19
34	-32	33
38	-36	37
15	-15	-7
9	-15	31
24	-22	28
31	-29	94
13	-15	74
13	-15	74
19	-17	22
38	-36	37
24	-22	23
19	-14	16
21	-19	20
37	-35	36
17	-14	141
4	-14	80
16	-14	35
149	-48	10
17	-15	-24
17	-15	-28
83	-81	85
23	-23	110
18	-16	17
23	-21	22
17	-15	20
21	-17	20
25	-23	24
47	-45	46
16	-14	41
17	-15	16
118	-15	16
17	-15	44
17	-15	16
19	-17	18
17	-14	-5
18	-16	17
23	-23	22
41	-39	40
-9	-17	20
25	-28	13
17	-15	16
17	-15	43
31	-29	-14
34	-32	33
20	-18	19
34	-32	10
16	-14	10
25	-23	24
16	-14	-4
17	-15	16
53	-51	52
100	-53	95
16	-14	140
19	-17	19
18	-16	-28
36	-34	35
30	-29	54
7	-15	8
-9	-15	-48
15	-14	-2
30	-19	17
26	-24	25
19	-17	21
17	-15	3
24	-22	23
19	-17	18
15	-15	-8
23	-19	-66
12	-15	16
27	-25	26
20	-52	55
28	-26	88
19	-17	18
17	-15	16
16	-14	-24
27	-25	26
27	-18	-95
17	-15	16
17	-15	38
17	-15	53
13	-14	32
17	-15	15
24	-16	8
19	-14	-7
14	-14	0
16	-14	54
16	-14	18
19	-18	117
18	-16	-11
39	-34	35
22	-17	27
16	-14	-18
32	-30	31
44	-42	43
30	-28	29
16	-14	28
22	-23	26
14	-15	10
27	-25	26
18	-15	24
21	-19	-55
16	-14	-4
33	-19	24
74	-72	73
17	-15	16
33	-22	-3
17	-15	16
18	-15	16
21	-19	20
6	-14	4
18	-18	30
21	-15	144
31	-29	30
16	-14	15
27	-25	26
20	-14	17
15	-15	24
17	-15	76
17	-15	76
13	-15	24
34	-32	33
18	-15	-5
19	-17	18
14	-16	36
15	-14	104
16	-14	20
17	-15	16
27	-25	26
33	-31	32
13	-15	18
17	-15	-8
33	-31	32
21	-18	45
16	-14	14
22	-20	30
17	-15	61
16	-14	58
16	-14	39
32	-30	-30
35	-39	4
23	-21	-21
26	-24	25
16	-14	-41
147	-37	31
29	-16	20
14	-14	8
13	-15	12
93	-24	83
18	-16	63
16	-14	15
28	-26	27
30	-28	29
17	-15	16
13	-14	30
15	-14	5
20	-18	-23
25	-23	24
16	-14	72
16	-14	-80
36	-34	35
18	-18	26
16	-14	10
49	-47	-10
17	-15	16
60	-44	59
21	-17	-17
25	-23	78
28	-17	25
274	-76	217
19	-17	18
27	-20	22
27	-20	114
21	-19	-6
34	-32	33
16	-14	17
16	-14	17
12	-16	6
26	-24	25
19	-14	37
30	-28	29
25	-17	23
11	-14	17
11	-14	17
11	-21	9
18	-16	16
25	-23	24
37	-35	125
103	-73	93
36	-34	35
16	-14	16
14	-14	65
34	-32	39
30	-31	43
11	-14	-8
40	-38	39
24	-14	-8
41	-39	40
17	-15	15
23	-22	16
16	-15	18
19	-17	20
176	-76	112
19	-17	18
131	-30	31
32	-30	31
30	-28	27
30	-28	27
40	-38	39
25	-23	24
36	-34	35
35	-33	34
16	-14	69
16	-14	69
18	-16	38
18	-16	38
70	-68	69
18	-20	29
25	-23	-29
19	-15	19
35	-33	34
38	-36	34
32	-30	31
20	-15	131
34	-32	33
28	-26	27
22	-20	101
16	-14	75
12	-14	6
16	-14	98
148	-49	50
51	-49	50
16	-19	7
24	-22	23
14	-20	11
20	-16	3
21	-16	155
16	-14	25
17	-15	16
41	-39	37
25	-23	-9
17	-22	15
31	-33	78
17	-15	59
37	-35	32
30	-19	24
17	-14	-1
26	-24	117
22	-16	-33
123	-19	18
29	-27	28
30	-28	29
17	-15	16
29	-27	-39
18	-15	36
26	-24	25
28	-26	27
24	-22	23
33	-31	32
119	-20	39
11	-16	19
31	-29	30
28	-26	27
17	-15	33
21	-15	15
16	-14	42
31	-29	30
50	-48	-48
31	-23	25
132	-30	-18
17	-15	11
18	-16	22
40	-38	39
16	-14	-125
15	-15	97
30	-28	29
26	-20	23
37	-31	36
19	-17	18
36	-34	35
27	-25	33
31	-17	58
33	-31	32
33	-31	32
17	-15	16
37	-35	36
24	-15	-66
61	-59	80
18	-16	24
31	-25	21
22	-20	23
150	-55	69
66	-64	69
17	-15	16
19	-15	78
19	-15	34
21	-19	20
33	-31	32
21	-19	20
105	-18	27
122	-18	26
17	-15	10
18	-15	-9
22	-14	-6
17	-15	16
30	-28	29
20	-18	5
117	-15	99
15	-15	-39
17	-15	-6
19	-15	20
21	-14	33
37	-25	33
16	-14	48
32	-30	-24
84	-82	83
16	-14	-13
27	-25	26
19	-15	-110
19	-16	39
21	-18	150
48	-46	-7
20	-15	69
8	-17	6
19	-17	12
34	-32	33
19	-16	-7
157	-66	68
24	-21	23
23	-21	-6
18	-17	10
19	-16	16
18	-16	-10
31	-14	27
28	-14	19
24	-22	-32
27	-25	26
18	-15	92
18	-15	92
23	-22	22
28	-26	27
35	-33	-34
117	-14	28
17	-15	12
27	-23	28
21	-19	20
32	-30	31
36	-23	31
34	-32	32
35	-33	135
12	-14	27
22	-20	21
26	-24	25
24	-22	23
46	-36	18
19	-17	20
23	-14	31
19	-17	18
16	-14	-60
16	-14	13
21	-19	20
24	-17	25
32	-30	31
24	-22	23
118	-24	31
112	-14	36
24	-22	24
48	-29	34
32	-30	33
11	-16	6
16	-14	104
31	-29	28
16	-14	19
25	-20	25
17	-15	-64
33	-31	32
17	-15	28
20	-16	11
26	-26	8
16	-14	80
75	-14	16
18	-16	9
16	-14	18
18	-16	17
18	-16	150
18	-16	11
18	-16	11
22	-18	17
26	-24	25
24	-22	23
19	-21	19
16	-14	18
21	-19	28
32	-30	31
19	-17	18
40	-38	39
21	-19	20
33	-30	121
41	-39	40
32	-30	-19
26	-24	25
25	-23	24
23	-21	22
25	-23	24
140	-45	113
16	-14	92
18	-16	15
18	-16	15
26	-24	25
19	-18	22
115	-15	67
33	-20	57
19	-17	8
19	-17	17
20	-15	43
64	-51	46
29	-28	26
16	-16	2
7	-15	17
19	-17	18
44	-42	27
44	-42	27
17	-15	16
25	-23	24
29	-27	28
22	-20	21
17	-15	-7
19	-14	88
38	-35	36
41	-18	65
22	-20	154
19	-18	48
18	-14	6
19	-24	19
13	-14	132
17	-17	22
11	-16	11
27	-25	26
22	-20	21
19	-17	18
119	-17	72
16	-14	125
15	-14	18
31	-29	30
17	-15	39
14	-16	15
168	-66	149
20	-14	18
28	-26	27
16	-14	15
49	-47	28
49	-47	28
27	-25	26
18	-16	17
31	-29	30
16	-14	15
17	-15	24
17	-15	16
58	-56	57
14	-15	-3
30	-28	29
25	-23	23
34	-27	27
25	-23	24
19	-17	18
17	-15	16
13	-14	35
17	-15	15
16	-17	130
23	-20	-65
43	-42	33
29	-15	10
51	-49	50
28	-16	20
27	-25	26
16	-14	-20
17	-14	63
17	-14	63
14	-14	2
24	-18	135
18	-16	23
67	-28	68
15	-15	26
20	-15	13
11	-14	-8
50	-48	50
17	-15	16
34	-32	33
17	-14	5
26	-24	25
21	-19	25
23	-21	22
14	-14	12
24	-16	19
18	-17	31
26	-24	28
19	-18	137
17	-16	-1
17	-16	-1
17	-15	16
20	-15	3
19	-14	-61
46	-21	18
16	-17	24
16	-17	24
16	-14	150
31	-29	30
35	-26	26
27	-25	26
19	-16	25
18	-18	-36
12	-14	30
19	-17	18
108	-15	16
24	-15	95
18	-16	16
24	-22	23
26	-24	30
26	-24	30
31	-29	30
17	-15	-118
24	-22	-25
7	-14	5
34	-32	33
24	-22	23
28	-26	26
17	-15	15
32	-30	31
14	-17	20
30	-28	29
21	-15	-94
17	-18	-46
15	-23	20
18	-15	16
53	-51	53
29	-24	130
56	-54	-44
17	-15	18
21	-14	10
23	-15	2
21	-19	109
16	-14	129
23	-14	-102
35	-19	30
24	-22	-70
29	-27	28
40	-34	29
31	-31	28
33	-31	32
18	-16	18
21	-16	-60
21	-16	-60
47	-45	-11
19	-19	16
21	-19	30
17	-15	16
21	-19	109
15	-14	-88
13	-14	-54
15	-16	1
16	-14	17
21	-19	20
22	-18	109
14	-14	-44
30	-25	32
226	-104	224
120	-28	124
21	-17	16
37	-35	36
16	-14	8
20	-18	19
16	-14	16
20	-16	13
38	-36	37
35	-33	37
17	-14	-30
38	-36	36
32	-30	31
39	-37	36
25	-23	21
37	-35	36
17	-15	18
27	-25	43
17	-15	47
21	-19	158
124	-23	-119
17	-15	16
16	-14	40
18	-16	-21
19	-17	50
23	-21	22
16	-14	39
31	-29	30
-2	-15	17
19	-17	18
22	-20	21
22	-20	-47
82	-80	82
7	-15	18
24	-16	23
19	-17	28
20	-14	41
20	-15	30
19	-17	22
17	-15	16
16	-14	145
17	-15	16
35	-33	34
17	-15	18
28	-26	27
32	-21	20
19	-17	44
30	-28	22
17	-15	16
17	-14	21
30	-28	27
20	-18	-64
23	-17	30
15	-15	40
24	-22	15
20	-14	2
33	-31	32
16	-14	63
22	-26	22
35	-33	34
17	-15	60
108	-14	20
16	-21	20
383	-204	250
19	-17	20
30	-23	33
14	-16	-24
31	-25	66
31	-25	66
19	-17	16
32	-30	31
28	-26	27
25	-23	24
32	-22	42
16	-14	20
37	-35	36
24	-22	23
34	-28	27
31	-29	30
33	-31	32
126	-29	40
41	-39	40
16	-14	48
18	-15	114
16	-15	-22
20	-18	46
22	-20	46
25	-16	26
32	-30	31
20	-15	23
16	-14	16
21	-19	20
21	-19	10
30	-20	102
12	-16	-5
20	-17	42
19	-17	18
12	-14	22
43	-41	42
18	-16	-34
39	-27	73
18	-16	19
28	-26	27
16	-14	47
16	-15	18
18	-15	19
24	-22	23
13	-15	16
29	-27	28
29	-27	28
29	-27	28
26	-24	25
33	-31	32
16	-14	46
15	-14	44
34	-30	33
34	-30	33
21	-19	53
17	-15	16
24	-22	23
15	-16	-64
22	-20	61
181	-74	105
19	-17	-85
28	-18	8
41	-26	51
19	-17	42
25	-23	85
18	-18	47
20	-18	77
35	-33	34
33	-31	32
27	-25	26
26	-23	28
21	-36	-52
36	-34	41
16	-14	16
16	-14	15
29	-27	86
16	-14	59
17	-15	16
17	-16	-93
17	-16	-93
16	-14	16
14	-14	-6
18	-17	12
17	-15	16
22	-14	-104
28	-22	27
23	-16	182
41	-39	40
29	-27	28
20	-18	47
13	-14	17
23	-21	22
2	-19	-4
20	-17	43
28	-14	18
29	-27	86
18	-14	19
12	-15	82
12	-15	82
16	-14	-10
16	-14	-10
29	-22	64
16	-14	39
20	-16	105
20	-16	105
21	-19	97
26	-24	25
28	-26	27
178	-83	86
18	-16	17
31	-29	30
30	-19	26
42	-40	41
14	-20	21
17	-15	15
17	-15	105
20	-15	-18
17	-15	16
16	-14	15
19	-16	16
19	-16	5
25	-23	24
31	-29	30
36	-34	35
18	-18	14
41	-39	40
31	-29	30
18	-16	17
37	-35	36
42	-40	-37
42	-40	-37
17	-15	16
15	-15	153
33	-31	32
16	-14	69
35	-33	34
25	-14	26
17	-15	16
29	-27	28
40	-17	10
17	-15	42
30	-28	29
21	-19	20
38	-36	37
17	-15	16
48	-46	23
21	-20	30
27	-25	26
18	-18	25
21	-19	20
26	-20	17
40	-38	42
23	-21	22
22	-20	21
19	-17	19
19	-14	18
31	-29	26
18	-14	12
45	-42	99
45	-42	99
19	-15	7
19	-15	7
22	-19	21
17	-15	18
23	-21	48
19	-17	-3
19	-15	27
17	-19	37
18	-18	80
24	-14	21
18	-16	19
20	-18	-43
27	-25	26
16	-14	-12
17	-15	6
16	-14	-33
16	-14	-16
23	-21	148
26	-24	25
27	-14	11
21	-16	46
27	-22	17
17	-15	18
20	-20	139
19	-17	29
44	-42	-25
17	-21	22
25	-23	24
-20	-21	-63
23	-14	33
18	-15	12
17	-15	22
17	-15	42
17	-15	18
20	-14	8
13	-14	23
15	-21	22
27	-22	47
84	-82	83
27	-25	-80
115	-18	261
36	-34	35
17	-15	152
34	-32	33
33	-31	32
34	-24	29
53	-28	110
37	-29	30
19	-14	15
118	-29	77
16	-14	76
20	-21	28
14	-15	8
28	-26	27
144	-51	55
56	-54	55
36	-34	35
23	-21	22
14	-14	13
21	-19	20
25	-23	24
34	-27	28
34	-27	28
19	-17	81
29	-20	24
32	-30	31
45	-26	11
27	-14	-83
30	-28	29
42	-40	97
17	-15	20
56	-54	55
18	-16	20
23	-16	46
16	-14	14
15	-14	-10
36	-20	59
19	-17	18
13	-15	104
40	-38	27
-150	-15	-89
28	-15	17
17	-15	15
15	-15	-5
23	-24	11
26	-24	25
20	-14	12
77	-36	73
125	-34	44
179	-77	78
14	-15	9
17	-15	-15
28	-26	27
19	-21	45
19	-21	45
119	-20	-60
27	-25	26
120	-17	115
111	-18	81
18	-16	-75
18	-16	12
18	-16	12
23	-21	22
35	-29	34
17	-14	1
19	-17	18
19	-17	18
44	-42	43
86	-84	101
22	-15	-17
34	-25	24
26	-24	25
26	-17	1
114	-22	55
16	-14	18
18	-16	17
18	-16	-5
14	-14	15
30	-19	19
31	-29	30
34	-32	33
29	-27	28
11	-14	21
17	-15	-14
13	-16	7
35	-33	-42
13	-22	-1
26	-24	25
39	-24	133
20	-14	18
28	-15	14
23	-26	20
15	-14	4
24	-22	26
36	-20	13
29	-27	28
37	-35	36
14	-14	-5
18	-16	41
23	-21	-14
16	-14	10
133	-42	145
25	-23	24
32	-30	31
40	-15	51
19	-17	18
17	-15	-39
34	-32	33
16	-14	-121
19	-17	18
37	-35	37
32	-30	29
31	-47	74
32	-30	31
28	-26	27
35	-18	11
33	-31	-25
17	-15	-22
15	-15	-60
32	-30	31
18	-16	17
27	-25	26
16	-14	16
19	-17	18
20	-15	93
21	-15	-130
27	-25	26
115	-14	17
27	-19	28
17	-15	16
25	-23	24
34	-32	33
21	-20	9
14	-14	25
18	-16	53
17	-15	124
17	-15	17
17	-15	34
17	-15	-40
24	-16	9
14	-14	-82
123	-21	263
17	-15	-4
25	-23	24
24	-15	-16
12	-14	22
17	-15	14
21	-19	20
26	-25	25
16	-14	-66
40	-38	39
17	-15	16
29	-27	28
20	-14	139
11	-15	4
20	-16	-66
115	-14	26
27	-25	26
21	-19	20
17	-15	0
20	-18	-1
34	-32	33
-6	-15	-2
26	-16	93
21	-19	46
18	-18	65
47	-30	31
32	-30	31
27	-18	17
17	-15	109
30	-18	41
115	-14	28
36	-25	28
17	-15	36
31	-20	23
42	-28	32
17	-15	-72
17	-17	-5
21	-22	-6
21	-21	8
34	-31	30
23	-19	17
23	-19	17
29	-27	28
35	-33	125
26	-17	5
34	-32	33
38	-36	115
38	-36	115
21	-17	12
27	-25	32
21	-21	17
37	-35	-14
16	-14	17
23	-16	24
19	-17	18
24	-14	-4
27	-25	28
16	-18	-115
23	-20	22
17	-15	18
21	-20	-2
23	-16	12
-2	-21	-43
28	-26	-109
14	-14	28
26	-16	-22
33	-26	90
33	-26	90
35	-33	-13
5	-14	15
18	-16	-6
22	-17	15
12	-14	24
26	-24	-18
18	-16	-13
32	-30	31
20	-18	100
9	-14	19
17	-15	16
16	-14	5
33	-31	167
46	-44	45
16	-14	19
20	-18	-110
22	-20	-59
38	-36	37
23	-22	190
15	-15	-7
23	-17	26
17	-14	12
17	-14	12
9	-15	31
17	-15	16
20	-16	22
30	-28	92
105	-17	27
19	-17	55
22	-20	21
15	-16	84
20	-17	15
54	-52	53
17	-15	143
28	-26	27
20	-16	119
20	-16	119
61	-47	80
16	-14	35
17	-15	-24
17	-15	-72
83	-81	85
44	-42	-13
18	-16	17
24	-22	23
19	-17	18
25	-23	24
20	-18	19
23	-15	14
47	-45	46
22	-22	19
13	-14	-123
17	-14	13
17	-14	13
18	-16	96
17	-14	-5
18	-16	17
25	-28	13
17	-15	16
34	-32	33
18	-14	-2
19	-17	29
24	-21	23
34	-32	10
17	-15	12
20	-18	93
115	-16	50
14	-14	88
19	-17	18
53	-51	52
26	-24	25
18	-17	10
100	-53	95
116	-14	29
19	-23	17
17	-15	16
18	-16	-28
22	-20	21
26	-24	25
25	-16	32
117	-17	26
27	-25	26
16	-14	-33
21	-19	20
17	-17	8
90	-88	36
20	-18	31
17	-15	58
2	-21	23
19	-17	18
16	-14	37
16	-14	37
15	-15	-8
60	-58	52
12	-15	16
