one_four	two_three	one_two
30	-28	29
25	-23	23
31	-34	27
25	-23	24
19	-17	18
17	-15	16
17	-15	15
37	-33	98
20	-18	-26
51	-49	50
8	-16	14
27	-25	26
19	-17	-5
39	-37	-16
18	-16	14
16	-14	21
13	-14	19
16	-14	131
20	-17	-12
20	-17	-12
42	-40	32
19	-17	18
22	-20	44
11	-14	4
34	-32	33
26	-24	25
23	-21	22
12	-16	15
186	-84	73
19	-16	65
20	-17	-29
17	-14	-6
17	-14	-6
17	-15	16
16	-14	-54
45	-43	105
68	-14	88
14	-15	107
20	-18	69
28	-17	41
26	-24	30
21	-26	28
16	-14	54
27	-25	26
17	-16	9
9	-14	4
9	-14	4
19	-17	18
109	-15	16
17	-17	109
16	-21	7
16	-14	23
18	-16	16
25	-22	30
31	-29	30
18	-16	74
16	-14	66
16	-14	66
34	-32	33
24	-22	23
2	-19	-60
16	-14	-15
29	-27	28
32	-30	31
30	-28	29
110	-91	-8
35	-23	28
16	-14	53
54	-52	53
14	-15	-13
16	-14	14
21	-19	15
18	-16	-50
17	-15	16
18	-16	13
17	-14	49
17	-15	16
31	-29	30
27	-22	100
18	-14	24
29	-27	28
34	-30	36
33	-31	32
19	-17	18
1	-23	133
24	-22	-7
20	-18	-13
33	-31	32
21	-19	20
18	-16	-4
16	-17	-11
24	-25	20
19	-17	24
16	-14	-1
16	-14	12
21	-19	17
12	-14	6
12	-14	6
37	-35	36
24	-22	120
20	-18	19
29	-22	29
29	-22	29
17	-15	16
26	-19	18
26	-19	18
23	-16	21
20	-20	21
37	-35	35
10	-14	-1
35	-33	37
13	-21	24
39	-37	38
32	-30	31
37	-35	36
22	-20	21
37	-35	36
17	-15	18
46	-44	45
-2	-18	-56
17	-15	-31
23	-21	27
10	-14	4
17	-15	16
17	-14	5
23	-21	22
14	-16	74
32	-30	31
17	-15	16
37	-35	36
14	-21	24
28	-26	27
35	-33	34
17	-15	16
22	-20	12
19	-17	-36
22	-20	21
15	-14	-115
22	-20	-10
17	-15	16
24	-22	-15
16	-14	16
24	-22	74
12	-16	11
25	-23	103
82	-80	82
24	-21	4
17	-15	16
17	-15	-3
10	-24	32
25	-23	-34
19	-17	18
20	-19	28
31	-29	30
19	-21	14
26	-24	19
17	-15	57
29	-27	28
29	-27	28
20	-14	4
16	-15	21
29	-27	28
26	-24	25
33	-31	32
30	-30	29
30	-30	29
16	-14	18
17	-14	-7
34	-26	32
35	-33	34
17	-15	22
21	-19	-11
31	-22	24
19	-16	-103
21	-19	20
32	-17	23
20	-23	15
10	-14	4
32	-30	31
43	-34	34
121	-19	27
16	-15	26
21	-15	-119
19	-17	-8
20	-18	46
53	-52	-61
123	-29	40
33	-31	40
34	-32	36
24	-22	23
34	-36	43
31	-29	30
33	-31	32
16	-14	24
17	-15	114
28	-23	33
25	-23	24
20	-18	20
29	-27	25
28	-26	27
16	-14	13
13	-17	42
20	-18	30
-8	-16	-35
21	-19	20
23	-18	29
26	-17	142
17	-21	-17
43	-41	137
19	-17	-23
20	-14	8
43	-41	42
16	-18	83
17	-15	13
28	-26	27
25	-19	23
18	-16	94
12	-18	-6
13	-14	81
15	-16	6
24	-22	23
17	-15	16
24	-22	23
153	-58	61
17	-20	87
21	-14	-4
32	-22	30
35	-33	34
33	-31	32
27	-25	26
24	-23	20
19	-17	51
28	-24	2
30	-28	28
14	-16	123
35	-17	28
0	-17	6
38	-34	30
17	-15	16
-4	-24	53
25	-23	-42
18	-15	21
16	-14	15
18	-15	25
18	-15	25
17	-15	16
17	-15	16
17	-14	18
17	-15	16
26	-28	31
41	-39	40
16	-14	34
-56	-18	72
22	-20	20
18	-32	4
46	-34	17
17	-15	-5
20	-18	-53
9	-15	-136
18	-32	4
21	-19	20
16	-14	39
30	-28	29
17	-14	42
26	-14	25
23	-17	30
17	-15	144
26	-24	25
18	-15	45
54	-52	69
21	-19	39
19	-14	-125
18	-16	17
17	-15	15
20	-18	109
17	-15	105
20	-15	-18
47	-45	52
28	-26	27
24	-22	23
31	-29	30
41	-39	40
18	-16	17
16	-14	-100
27	-25	26
46	-47	50
19	-15	14
19	-15	42
29	-27	28
25	-14	26
20	-16	-67
16	-14	69
18	-14	68
23	-17	-6
37	-35	36
33	-24	28
27	-25	26
18	-16	24
19	-17	20
21	-19	20
24	-14	13
18	-14	15
31	-29	30
33	-31	32
19	-14	18
17	-14	37
27	-25	26
31	-29	26
18	-14	12
25	-23	24
119	-24	47
19	-17	28
25	-16	20
40	-38	-25
20	-16	18
27	-25	-27
26	-24	25
17	-19	37
16	-14	15
20	-18	-43
42	-40	41
25	-15	128
29	-36	33
27	-25	26
17	-15	6
15	-17	33
31	-29	30
23	-21	148
26	-24	25
17	-15	18
44	-42	-25
31	-29	30
17	-15	10
21	-19	-8
16	-14	-46
27	-25	25
25	-23	24
18	-16	23
18	-17	26
16	-14	16
17	-24	-9
29	-50	-6
17	-15	-11
24	-22	-86
21	-16	27
28	-26	27
17	-15	12
19	-17	18
17	-15	16
37	-29	30
34	-25	28
26	-24	74
23	-21	22
16	-14	8
28	-26	27
18	-14	81
23	-17	161
17	-15	26
6	-14	4
-7	-24	-31
56	-54	55
21	-19	20
13	-15	-1
21	-18	65
17	-15	-34
27	-14	-83
25	-16	29
45	-26	11
19	-17	81
20	-17	33
20	-17	33
18	-16	24
39	-37	38
15	-14	-10
19	-17	-36
20	-16	20
22	-20	-9
49	-35	34
28	-26	27
20	-14	12
29	-27	28
26	-24	25
21	-19	20
404	-384	382
55	-15	-7
17	-15	36
20	-17	-16
24	-22	54
28	-29	-8
34	-20	29
21	-18	20
41	-39	40
33	-31	103
20	-15	8
23	-21	22
16	-16	-35
38	-36	37
19	-15	31
16	-14	15
16	-14	110
111	-20	-60
19	-17	18
17	-15	16
23	-21	-14
12	-14	6
44	-27	19
17	-15	19
18	-16	41
29	-27	28
29	-20	-52
34	-32	33
23	-24	24
160	-59	90
169	-67	190
26	-24	25
35	-33	-42
17	-15	40
54	-28	42
17	-15	33
25	-23	24
31	-29	30
10	-14	12
26	-24	25
17	-16	-2
18	-16	16
17	-15	24
114	-17	31
16	-14	147
13	-21	6
16	-14	-37
21	-24	20
19	-15	10
21	-19	20
9	-14	-115
33	-31	-25
-1	-16	-88
8	-15	24
25	-23	24
16	-14	18
17	-14	13
133	-42	145
27	-25	16
32	-30	31
34	-32	33
19	-17	18
16	-14	6
22	-20	-12
23	-21	9
17	-15	20
19	-17	20
23	-17	-34
23	-17	-34
-37	-40	-90
18	-16	17
15	-15	10
26	-18	28
13	-14	-101
17	-15	16
6	-14	-78
115	-21	-136
19	-17	134
18	-16	53
16	-14	20
21	-19	20
17	-15	34
25	-23	24
14	-16	2
41	-27	24
10	-15	21
20	-16	20
29	-27	28
24	-22	23
17	-15	14
12	-14	19
36	-34	35
29	-27	28
19	-17	20
26	-24	144
16	-14	-60
21	-19	20
110	-16	196
16	-14	36
46	-37	45
25	-23	24
11	-14	14
15	-16	39
13	-14	35
21	-19	20
110	-19	64
111	-21	132
39	-37	37
23	-20	47
16	-14	20
32	-30	31
16	-14	-76
25	-19	21
22	-16	-13
18	-16	18
16	-14	18
4	-16	75
10	-16	-7
23	-16	15
112	-18	38
12	-20	13
22	-17	96
21	-27	28
17	-15	25
19	-17	18
70	-68	69
24	-22	23
13	-15	20
19	-17	18
25	-14	-98
21	-19	20
24	-24	-1
30	-28	29
22	-17	26
25	-23	10
23	-22	190
17	-15	16
12	-15	8
20	-16	22
34	-32	33
38	-36	37
18	-15	10
19	-17	18
22	-20	21
23	-21	22
54	-52	53
2	-14	-54
17	-15	-122
28	-26	27
24	-22	23
21	-14	-5
18	-16	17
44	-42	-13
24	-22	23
60	-58	59
18	-16	-54
28	-26	27
15	-15	12
20	-18	19
15	-15	34
27	-25	26
23	-15	14
22	-22	19
18	-16	47
27	-22	8
18	-16	-13
16	-14	14
17	-15	18
18	-16	96
23	-14	23
41	-39	47
41	-39	40
17	-16	11
17	-16	11
21	-27	23
18	-14	-2
17	-39	-1
20	-18	93
36	-34	35
21	-19	50
14	-14	88
16	-14	-16
17	-15	16
26	-24	25
22	-14	125
19	-23	17
28	-14	26
18	-14	36
16	-14	36
22	-20	21
14	-19	17
14	-14	25
21	-19	20
17	-14	8
19	-17	18
17	-15	38
29	-27	28
71	-69	70
25	-24	26
20	-18	9
20	-18	19
17	-15	16
11	-16	21
26	-24	66
9	-14	31
24	-19	29
18	-15	49
28	-16	22
18	-14	14
18	-14	14
16	-14	6
14	-18	-8
33	-34	35
32	-30	31
20	-18	19
20	-18	-76
16	-14	58
16	-14	58
44	-42	43
27	-25	26
34	-32	33
158	-59	39
21	-15	6
20	-18	17
37	-19	20
26	-24	25
17	-15	16
18	-16	17
44	-33	32
39	-37	38
17	-15	-20
19	-17	21
20	-19	2
19	-19	28
18	-16	22
23	-18	-5
23	-18	-5
23	-21	107
548	-547	541
16	-15	34
18	-16	16
30	-28	29
16	-14	37
19	-17	18
17	-15	16
22	-20	21
28	-23	36
38	-20	-18
24	-22	-87
19	-17	18
26	-24	25
19	-17	21
27	-25	75
27	-20	14
38	-34	33
23	-21	22
36	-34	-31
47	-73	55
38	-36	37
22	-14	10
16	-14	8
16	-14	16
30	-28	-12
28	-26	27
27	-25	26
35	-33	-28
94	-134	32
29	-21	16
10	-16	28
21	-19	45
68	-66	67
41	-39	40
23	-15	20
35	-15	24
21	-19	0
21	-19	20
12	-14	6
19	-17	18
131	-30	31
32	-30	31
25	-32	29
36	-34	35
15	-14	23
20	-20	23
32	-30	31
17	-15	13
43	-15	-13
34	-32	33
28	-26	27
217	-80	94
19	-17	147
34	-32	33
13	-14	-123
22	-20	17
24	-22	23
21	-19	-116
19	-17	12
30	-28	29
16	-14	36
17	-15	16
24	-22	23
17	-15	16
23	-17	-92
27	-25	26
31	-33	29
24	-19	4
17	-15	16
16	-14	48
34	-32	31
19	-17	18
13	-21	17
19	-17	46
14	-15	147
19	-17	12
42	-40	41
18	-17	17
17	-15	16
27	-25	26
21	-20	60
30	-28	29
16	-14	45
27	-25	26
22	-16	-69
39	-37	38
28	-26	27
34	-14	-109
30	-28	29
-1	-16	-24
38	-35	95
47	-45	46
115	-15	17
21	-15	15
29	-19	22
110	-15	86
16	-14	-41
147	-49	50
32	-26	37
21	-22	50
23	-19	19
33	-31	71
17	-15	17
16	-14	-112
17	-15	16
-4	-23	-10
21	-19	20
20	-18	19
25	-23	24
30	-28	-18
19	-17	41
9	-16	-16
18	-16	13
17	-15	16
21	-19	13
21	-19	13
31	-29	30
38	-36	37
28	-26	27
24	-22	23
24	-33	24
33	-31	32
19	-17	18
16	-14	9
16	-14	34
14	-15	87
13	-14	15
32	-30	76
16	-14	-70
21	-16	27
23	-21	22
22	-18	39
22	-15	148
41	-39	-6
40	-38	39
16	-14	11
22	-20	21
46	-37	36
36	-34	35
54	-52	55
38	-36	37
33	-31	32
17	-15	16
35	-33	35
33	-31	32
17	-15	16
34	-32	118
16	-15	27
17	-15	38
13	-14	9
13	-14	9
38	-36	37
16	-14	8
21	-19	20
21	-19	20
23	-21	22
31	-29	30
26	-15	48
23	-21	22
15	-17	-7
16	-15	-20
69	-67	68
25	-23	24
13	-14	44
17	-15	16
3	-16	0
37	-35	-11
18	-15	9
27	-25	26
33	-31	32
-20	-16	-3
18	-15	23
17	-15	60
23	-19	49
17	-15	39
122	-21	29
18	-16	17
16	-14	35
31	-29	27
22	-23	23
20	-18	-61
14	-14	17
14	-14	-69
18	-16	87
21	-19	-102
134	-36	40
18	-16	-23
21	-19	67
19	-17	24
19	-17	24
28	-26	27
41	-39	40
13	-17	8
22	-32	24
25	-22	28
22	-20	21
16	-16	7
20	-18	55
25	-23	23
11	-14	5
25	-23	24
23	-24	88
23	-21	-62
19	-17	18
15	-15	24
17	-15	16
29	-18	29
19	-17	18
16	-14	32
15	-17	23
22	-15	130
23	-16	24
23	-21	140
27	-25	75
30	-15	-35
13	-14	-55
30	-27	28
21	-19	20
29	-27	28
9	-16	14
24	-22	23
39	-37	38
33	-44	8
15	-16	17
33	-31	32
29	-24	7
11	-14	-4
10	-14	-7
32	-20	24
24	-14	13
24	-22	23
16	-14	-12
15	-14	31
43	-41	42
17	-15	16
42	-40	41
21	-21	8
21	-22	-6
25	-23	24
17	-15	109
39	-37	38
49	-20	36
17	-15	28
23	-21	22
25	-23	24
22	-20	136
16	-14	82
19	-17	50
30	-26	28
33	-31	25
17	-15	-90
17	-15	16
20	-18	24
22	-20	21
16	-14	12
21	-19	20
17	-15	39
58	-14	11
16	-14	11
20	-28	29
28	-26	63
27	-25	26
22	-17	-60
31	-21	26
17	-14	12
35	-33	34
16	-17	14
33	-31	32
27	-18	31
31	-29	30
19	-17	18
65	-14	-82
26	-24	25
12	-14	12
37	-23	41
19	-17	18
16	-14	10
19	-16	-116
28	-26	27
17	-15	-76
27	-25	26
31	-29	30
21	-19	20
21	-19	-39
24	-22	23
31	-29	30
99	-97	98
22	-20	-22
49	-25	70
19	-17	-5
36	-34	118
151	-127	124
17	-14	8
27	-25	26
47	-45	42
29	-27	26
39	-37	-16
34	-32	33
20	-18	-1
18	-14	12
34	-32	33
26	-24	25
36	-34	35
17	-15	80
30	-29	-47
23	-18	-102
17	-15	16
29	-32	-6
-3	-17	-112
25	-23	24
14	-20	2
21	-18	16
27	-25	22
17	-15	13
17	-15	16
127	-23	6
31	-29	30
20	-16	45
24	-22	23
22	-20	21
18	-16	24
24	-16	12
30	-28	29
26	-22	23
22	-20	21
35	-23	28
34	-20	-99
17	-15	16
9	-14	19
37	-35	30
14	-15	-13
-162	-14	1
20	-15	21
20	-15	21
32	-30	31
16	-18	17
20	-18	22
16	-18	17
46	-46	38
17	-15	16
22	-20	21
18	-14	24
29	-27	28
19	-15	14
16	-14	15
22	-20	21
16	-14	0
21	-19	20
19	-20	-5
34	-32	33
16	-14	60
16	-14	12
12	-14	6
18	-16	-51
25	-20	48
29	-22	29
29	-22	29
10	-14	-1
27	-25	26
37	-35	36
16	-14	-27
16	-14	84
16	-14	-71
24	-18	17
10	-14	4
10	-14	4
68	-50	-4
27	-14	26
32	-30	31
31	-29	30
37	-35	36
28	-26	27
17	-15	17
29	-27	-38
117	-16	19
6	-20	37
22	-20	21
16	-14	36
19	-17	20
19	-17	-93
12	-16	11
59	-57	58
33	-31	32
16	-14	86
22	-21	-88
22	-21	-88
43	-41	93
17	-15	16
51	-49	50
31	-29	30
29	-27	28
16	-15	-60
26	-24	25
17	-14	-7
17	-15	-42
34	-26	32
17	-15	22
13	-14	149
16	-14	-52
10	-14	4
42	-40	174
16	-15	26
106	-19	67
31	-25	26
25	-23	24
16	-18	15
16	-14	75
71	-38	129
24	-22	23
23	-22	24
13	-17	42
17	-15	16
17	-15	16
19	-17	21
17	-15	16
27	-25	26
138	-52	61
25	-23	24
29	-27	28
22	-20	21
12	-18	-6
19	-16	21
18	-16	12
16	-14	-22
17	-20	87
17	-15	35
21	-19	7
34	-32	33
32	-22	30
35	-33	34
17	-15	16
145	-86	87
18	-16	65
16	-15	104
24	-23	20
28	-24	2
24	-22	23
14	-16	123
24	-24	26
35	-17	28
37	-35	36
16	-14	34
16	-14	48
24	-22	23
61	-59	60
40	-20	28
18	-32	4
46	-34	17
23	-27	27
105	-16	28
17	-14	33
24	-14	-9
18	-32	4
26	-24	75
26	-24	25
18	-14	23
28	-26	27
20	-18	18
30	-16	34
81	-79	86
36	-26	33
36	-26	33
29	-14	-2
18	-16	17
42	-40	41
22	-20	21
16	-14	15
26	-16	21
15	-14	25
27	-16	27
21	-21	61
17	-15	16
16	-14	15
18	-17	18
18	-17	-6
25	-23	24
21	-14	44
27	-25	30
36	-34	35
24	-20	22
41	-39	40
31	-29	30
31	-29	30
20	-18	90
18	-16	17
72	-70	71
16	-14	16
38	-36	37
16	-14	12
21	-19	20
30	-28	29
143	-41	97
23	-16	31
29	-27	28
33	-31	32
35	-33	34
-20	-14	46
21	-14	28
18	-15	129
17	-15	16
42	-40	-37
42	-40	-37
37	-35	36
14	-15	100
27	-25	26
21	-15	12
32	-24	25
20	-18	46
16	-14	-21
16	-14	-21
26	-24	-90
43	-41	42
14	-16	-8
19	-17	14
22	-20	21
18	-16	59
20	-18	19
28	-17	25
18	-15	-7
57	-38	59
35	-33	34
11	-15	18
14	-14	18
16	-15	21
17	-15	18
6	-15	-4
20	-14	26
19	-17	16
11	-17	15
30	-21	55
21	-14	22
18	-16	19
27	-25	26
21	-19	56
16	-14	26
19	-17	18
22	-17	15
26	-24	25
16	-14	-70
18	-14	-52
20	-18	97
29	-21	22
25	-23	24
16	-14	-107
20	-18	47
111	-14	-115
35	-33	-49
19	-16	21
17	-15	16
19	-18	24
14	-15	17
37	-35	-23
23	-18	15
35	-21	22
14	-16	20
13	-18	21
16	-14	36
22	-20	70
84	-82	83
21	-19	20
20	-18	145
27	-25	39
-95	-21	-133
36	-34	35
34	-32	33
30	-28	26
21	-19	64
18	-24	21
16	-14	10
25	-29	30
17	-15	-3
19	-15	5
19	-15	5
27	-25	25
144	-51	55
56	-54	55
36	-34	35
37	-35	149
23	-21	22
21	-16	16
16	-14	10
20	-18	62
13	-14	-22
16	-14	17
25	-23	24
46	-36	1
24	-27	28
24	-27	28
15	-20	18
26	-24	19
20	-15	38
17	-17	-67
16	-14	48
30	-28	29
17	-15	20
48	-46	39
19	-17	18
19	-16	13
19	-16	13
38	-36	51
16	-14	11
15	-18	108
36	-29	32
36	-29	32
6	-15	17
16	-14	-12
32	-17	-18
17	-14	25
29	-24	39
26	-24	25
19	-14	10
12	-14	18
26	-24	25
17	-15	24
15	-15	5
15	-15	5
24	-22	55
179	-77	78
27	-23	141
20	-20	-18
21	-19	-5
17	-14	4
28	-26	85
18	-16	113
153	-50	105
28	-26	27
19	-16	57
27	-25	26
9	-19	-7
-53	-17	-99
23	-21	22
27	-29	26
17	-16	39
19	-15	68
19	-17	18
20	-18	-70
16	-16	32
19	-17	18
36	-25	13
11	-16	8
23	-14	26
17	-15	18
17	-15	-8
44	-42	43
20	-25	28
19	-17	-6
21	-19	20
17	-15	49
29	-27	28
19	-14	30
34	-32	33
12	-19	21
31	-29	30
1	-16	24
29	-27	28
22	-20	29
39	-37	-14
37	-35	97
25	-17	13
27	-17	26
26	-24	25
28	-26	-34
13	-15	14
24	-22	-16
34	-27	34
20	-18	-90
24	-16	10
37	-35	36
28	-26	27
17	-15	16
25	-23	24
25	-23	24
32	-30	31
19	-17	18
18	-16	42
36	-34	33
19	-17	18
37	-35	37
34	-32	33
16	-14	37
16	-14	96
32	-30	31
32	-30	31
18	-16	17
65	-42	43
27	-25	26
16	-14	16
19	-17	18
24	-22	-21
27	-25	26
101	-16	21
20	-18	15
14	-18	10
34	-32	33
-31	-25	16
37	-25	16
19	-16	23
17	-15	16
17	-15	16
17	-15	69
8	-16	25
18	-16	12
24	-22	56
17	-15	5
24	-22	141
25	-23	24
21	-19	20
18	-15	7
40	-38	39
41	-39	114
17	-15	16
29	-27	28
18	-16	15
19	-17	75
17	-15	-54
114	-14	26
27	-25	26
21	-19	20
41	-39	40
1	-36	-31
0	-14	-64
15	-14	98
40	-22	27
19	-17	18
147	-46	79
24	-15	-3
19	-14	46
145	-35	208
25	-29	39
17	-15	22
16	-14	24
16	-14	55
13	-16	19
26	-24	25
25	-14	38
21	-15	-111
28	-15	11
23	-22	5
17	-15	70
17	-14	-110
17	-15	-56
29	-20	14
27	-14	15
13	-14	5
32	-30	31
24	-15	13
17	-15	16
13	-14	39
46	-44	45
21	-19	20
16	-14	61
16	-14	-35
15	-14	-7
20	-18	-28
39	-37	86
38	-36	37
8	-16	38
23	-20	0
18	-15	-12
51	-31	39
17	-15	16
-13	-17	-1
17	-15	136
22	-20	21
19	-17	22
14	-14	-12
28	-26	27
19	-14	-53
54	-52	53
77	-77	87
18	-17	104
17	-16	61
18	-16	18
23	-20	-56
16	-14	-2
186	-84	85
-142	-14	-15
34	-15	-1
17	-15	-1
18	-16	17
23	-17	7
19	-17	18
15	-16	110
25	-23	24
20	-18	19
16	-16	-5
16	-14	-99
95	-14	-7
16	-14	67
11	-15	18
47	-45	46
25	-21	21
38	-25	115
18	-17	11
18	-17	11
19	-17	43
23	-21	91
18	-16	17
28	-24	29
17	-15	16
34	-32	33
20	-18	9
57	-55	56
117	-27	-10
19	-17	18
53	-51	52
25	-23	25
35	-25	29
23	-15	31
20	-18	-11
17	-15	16
18	-15	27
21	-15	24
22	-20	21
11	-14	0
26	-24	25
117	-16	26
27	-25	26
41	-39	88
20	-16	93
20	-16	93
18	-16	-84
127	-125	142
21	-19	20
23	-21	21
43	-42	98
19	-17	18
18	-16	26
18	-16	23
67	-65	66
22	-15	16
